codigo,nombre,descripcion
A390,MENINGITIS MENINGOCOCICA,ENFERMEDAD MENINGOCOCICA
A391,SINDROME DE WATERHOUSE-FRIDERICHSEN,ENFERMEDAD MENINGOCOCICA
A392,MENINGOCOCEMIA AGUDA,ENFERMEDAD MENINGOCOCICA
A393,MENINGOCOCEMIA CRONICA,ENFERMEDAD MENINGOCOCICA
A394,"MENINGOCOCEMIA, NO ESPECIFICADA",ENFERMEDAD MENINGOCOCICA
A395,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO,ENFERMEDAD MENINGOCOCICA
A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCOCICA,ENFERMEDAD MENINGOCOCICA
A399,"ENFERMEDAD MENINGOCOCICA, NO ESPECIFICADA",ENFERMEDAD MENINGOCOCICA
A400,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A",SEPSIS ESTREPTOCOCICA
A401,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B",SEPSIS ESTREPTOCOCICA
A402,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D",SEPSIS ESTREPTOCOCICA
A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE,SEPSIS ESTREPTOCOCICA
A408,OTRAS SEPSIS ESTREPTOCOCICAS,SEPSIS ESTREPTOCOCICA
A409,"SEPSIS ESTREPTOCOCICA, NO ESPECIFICADA",SEPSIS ESTREPTOCOCICA
A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS,OTRAS SEPSIS
A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,OTRAS SEPSIS
A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,OTRAS SEPSIS
A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE,OTRAS SEPSIS
A414,SEPSIS DEBIDA A ANAEROBIOS,OTRAS SEPSIS
A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,OTRAS SEPSIS
A418,OTRAS SEPSIS ESPECIFICADAS,OTRAS SEPSIS
A419,"SEPSIS, NO ESPECIFICADA",OTRAS SEPSIS
A420,ACTINOMICOSIS PULMONAR,ACTINOMICOSIS
A421,ACTINOMICOSIS ABDOMINAL,ACTINOMICOSIS
A422,ACTINOMICOSIS CERVICOFACIAL,ACTINOMICOSIS
A427,SEPSIS ACTINOMICOTICA,ACTINOMICOSIS
A428,OTRAS FORMAS DE ACTINOMICOSIS,ACTINOMICOSIS
A429,"ACTINOMICOSIS, SIN OTRA ESPECIFICACION",ACTINOMICOSIS
A430,NOCARDIOSIS PULMONAR,NOCARDIOSIS
A431,NOCARDIOSIS CUTANEA,NOCARDIOSIS
A438,OTRAS FORMAS DE NOCARDIOSIS,NOCARDIOSIS
A439,"NOCARDIOSIS, NO ESPECIFICADA",NOCARDIOSIS
A440,BARTONELOSIS SISTEMICA,BARTONELOSIS
A441,BARTONELOSIS CUTANEA Y MUCOCUTANEA,BARTONELOSIS
A448,OTRAS FORMAS DE BARTONELOSIS,BARTONELOSIS
A449,"BARTONELOSIS, NO ESPECIFICADA",BARTONELOSIS
A46X,ERISIPELA,ERISIPELA
A480,GANGRENA GASEOSA,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A481,ENFERMEDAD DE LOS LEGIONARIOS,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA (FIEBRE DE PONTIAC),OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A483,SINDROME DEL CHOQUE TOXICO,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A484,FIEBRE PURPURICA BRASILENA,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE
A490,"INFECCION ESTAFILOCOCICA, SITIO NO ESPECIFICADO",INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A491,"INFECCION ESTREPTOCOCICA, SITIO NO ESPECIFICADO",INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
A492,"INFECCION POR HAEMOPHILUS INFLUENZAE, SITIO NO ESPECIFICADO",INFECCION BACTERIANA DE SITIO NO ESPECIFICADO
